file,declared_language,format,objective_fit,status,blocking_findings,next_action
marketing/meta-ads/archive/material-antigo/2026-08-17-valores-desatualizados/story-reel-9x16/a7_es_story-reel-9x16_tu-tiempo-es-valioso.png,es,9x16,guest,ARCHIVED_OLD_PRICE,"US$3.00/lb incorreto; conteúdo fora da safe zone; free em vez de included","manter apenas como histórico; não publicar"
02_Stories_Reels_Instagram_Facebook_9x16/a7_he_story-reel-9x16_roupa-limpa-em-orlando.png,he,9x16,guest,REWORK_GUEST,"conteúdo fora da safe zone; hebraico sem revisão humana; logo incorporado","refazer master e obter revisão humana"
marketing/meta-ads/archive/material-antigo/2026-08-17-valores-desatualizados/story-reel-9x16/a7_he_story-reel-9x16_tempo-valioso.png,he,9x16,guest,ARCHIVED_OLD_PRICE,"US$3.00/lb incorreto; conteúdo fora da safe zone; hebraico sem revisão humana","manter apenas como histórico; não publicar"
02_Stories_Reels_Instagram_Facebook_9x16/a7_pt_story-reel-9x16_roupa-limpa-em-orlando.png,pt,9x16,guest,REWORK_GUEST,"conteúdo crítico fora da safe zone; logo incorporado; sem previews","refazer em 1080x1920 com conteúdo em y420-1500"
marketing/meta-ads/archive/material-antigo/2026-08-17-valores-desatualizados/story-reel-9x16/a7_pt_story-reel-9x16_seu-tempo-e-valioso.png,pt,9x16,guest,ARCHIVED_OLD_PRICE,"US$3.00/lb incorreto; conteúdo fora da safe zone; free em vez de included","manter apenas como histórico; não publicar"
03_YouTube_Facebook_Landscape_16x9/a7_en_landscape-16x9_fresh-laundry-in-orlando.png,en,landscape,guest,REWORK_GUEST,"1920x1088 não é 16:9 exato; logo incorporado; sem previews","reexportar 1920x1080 e aplicar logo oficial"
03_YouTube_Facebook_Landscape_16x9/a7_en_landscape-16x9_get-your-week-back-v1.png,en,landscape,local,HOLD_LOCAL_CAMPAIGN,"mensagem de rotina residencial; 1920x1088; logo aparenta 77 Laundry","reservar para campanha de moradores e refazer identidade"
03_YouTube_Facebook_Landscape_16x9/a7_en_landscape-16x9_get-your-week-back-v2.png,en,landscape,local,HOLD_LOCAL_CAMPAIGN,"mensagem de rotina residencial; 1920x1088; logo incorporado","reservar para campanha de moradores"
03_YouTube_Facebook_Landscape_16x9/a7_en_landscape-16x9_miami-orlando-travel-light.png,en,landscape,guest,REJECT,"Miami é mercado bloqueado; 1920x1088; logo incorporado","não reutilizar; recriar somente para Orlando"
03_YouTube_Facebook_Landscape_16x9/a7_en_landscape-16x9_orlando-vacation-travel-light.png,en,landscape,local,HOLD_LOCAL_CAMPAIGN,"arquivo declarado en contém texto em português; imagem residencial; same-day sem ressalva","reservar para moradores e remover promessa absoluta"
03_YouTube_Facebook_Landscape_16x9/a7_en_landscape-16x9_stop-doing-laundry.png,en,landscape,local,HOLD_LOCAL_CAMPAIGN,"mensagem residencial; same-day e free sem qualificação; logo não oficial","reservar para moradores e refazer oferta"
03_YouTube_Facebook_Landscape_16x9/a7_es_landscape-16x9_deja-de-lavar-ropa.png,es,landscape,local,HOLD_LOCAL_CAMPAIGN,"mensagem residencial; same-day e free sem qualificação; logo não oficial","reservar para moradores e revisar espanhol"
03_YouTube_Facebook_Landscape_16x9/a7_es_landscape-16x9_recupera-tu-semana-v1.png,es,landscape,local,HOLD_LOCAL_CAMPAIGN,"mensagem de rotina residencial; texto incidental em objeto; logo incorporado","reservar para moradores e limpar texto incidental"
03_YouTube_Facebook_Landscape_16x9/a7_es_landscape-16x9_recupera-tu-semana-v2.png,es,landscape,local,HOLD_LOCAL_CAMPAIGN,"mensagem de rotina residencial; 1920x1088; logo incorporado","reservar para moradores e revisar espanhol"
03_YouTube_Facebook_Landscape_16x9/a7_es_landscape-16x9_roupa-limpa-em-orlando.png,es,landscape,guest,REWORK_GUEST,"1920x1088 não é 16:9 exato; logo incorporado; sem previews","reexportar 1920x1080 e revisar espanhol"
03_YouTube_Facebook_Landscape_16x9/a7_es_landscape-16x9_roupa-suja-nos-lavamos.png,es,landscape,guest,REJECT,"arquivo declarado es contém texto em inglês e mostra Universal Studios Florida","não reutilizar; recriar com cenário genérico"
03_YouTube_Facebook_Landscape_16x9/a7_he_landscape-16x9_roupa-limpa-em-orlando.png,he,landscape,guest,REWORK_GUEST,"1920x1088; hebraico sem revisão humana; logo incorporado","reexportar e obter revisão humana"
03_YouTube_Facebook_Landscape_16x9/a7_pt_landscape-16x9_chegou-em-orlando.png,pt,landscape,guest,REJECT,"mostra Universal Orlando Resort e selo Miami to Orlando","não reutilizar; recriar com hotel/atração genéricos"
03_YouTube_Facebook_Landscape_16x9/a7_pt_landscape-16x9_recupere-sua-semana-v1.png,pt,landscape,local,HOLD_LOCAL_CAMPAIGN,"mensagem de rotina residencial; 1920x1088; logo incorporado","reservar para campanha de moradores"
03_YouTube_Facebook_Landscape_16x9/a7_pt_landscape-16x9_roupa-limpa-em-orlando.png,pt,landscape,guest,REWORK_GUEST,"1920x1088 não é 16:9 exato; logo incorporado; sem previews","reexportar 1920x1080 e aplicar logo oficial"
